TEAM	PAKE	PASE	WIN%
Abilene Christian	0.7	0.7	0.333
Akron	-0.9	-1.1	0.0
Alabama	-2.1	-2.9	0.5
Albany	-0.4	-0.3	0.0
American	-0.5	-0.4	0.0
Arizona	-1.7	-2.5	0.607
Arizona St.	-2.0	-1.9	0.2
Arkansas	4.3	3.5	0.611
Arkansas Pine Bluff	0.0	0.0	0.0
Auburn	0.6	1.4	0.636
Austin Peay	-0.1	-0.1	0.0
Baylor	0.9	-0.3	0.655
Belmont	-2.4	-1.9	0.0
Binghamton	-0.1	-0.1	0.0
Boise St.	-1.2	-1.5	0.0
Boston College	-0.4	-0.9	0.0
Boston University	-0.1	0.0	0.0
Bradley	0.0	-0.1	0.0
Bucknell	-1.2	-1.2	0.0
Buffalo	-0.1	0.0	0.333
Butler	7.0	8.7	0.654
BYU	-3.4	-3.0	0.3
Cal Poly	-0.1	0.0	0.0
Cal St. Bakersfield	-0.2	-0.1	0.0
Cal St. Fullerton	-0.3	-0.4	0.0
Cal St. Northridge	-0.1	-0.1	0.0
California	-1.4	-1.7	0.333
Chattanooga	-0.5	-0.8	0.0
Cincinnati	-3.6	-3.5	0.4
Clemson	-4.2	-3.5	0.25
Cleveland St.	0.4	0.6	0.333
Coastal Carolina	-0.1	0.0	0.0
Colgate	-0.9	-0.5	0.0
College of Charleston	-0.6	-0.8	0.0
Colorado	-1.5	-1.9	0.286
Colorado St.	-0.5	-1.4	0.25
Connecticut	8.6	10.6	0.793
Cornell	1.1	1.2	0.4
Creighton	0.7	0.9	0.529
Davidson	-0.9	0.3	0.333
Dayton	2.5	1.3	0.5
Delaware	-0.3	-0.4	0.0
Detroit	-0.1	-0.1	0.0
Drake	-2.2	-2.3	0.0
Drexel	-0.1	0.0	0.0
Duke	2.0	0.0	0.739
East Tennessee St.	-0.4	-0.3	0.0
Eastern Kentucky	-0.2	-0.1	0.0
Eastern Washington	-0.5	-0.4	0.0
Fairleigh Dickinson	1.0	1.0	0.333
Florida	4.3	5.9	0.679
Florida Atlantic	3.3	3.4	0.8
Florida Gulf Coast	1.5	1.7	0.4
Florida St.	1.3	1.2	0.579
Fresno St.	-0.4	-0.2	0.0
Furman	0.7	0.8	0.5
Gardner Webb	0.0	0.0	0.0
George Mason	-0.2	-0.2	0.333
George Washington	-0.6	-0.6	0.0
Georgetown	-6.2	-8.5	0.3
Georgia	-1.2	-1.4	0.0
Georgia St.	0.3	0.6	0.2
Georgia Tech	-0.4	-0.2	0.333
Gonzaga	3.1	3.8	0.681
Grand Canyon	-0.3	-0.3	0.0
Green Bay	-0.2	-0.2	0.0
Hampton	-0.1	0.0	0.0
Hartford	0.0	0.0	0.0
Harvard	0.2	0.6	0.333
Hawaii	0.4	0.8	0.5
Holy Cross	0.0	0.0	0.0
Houston	0.0	2.1	0.667
Howard	-0.1	0.0	0.0
Illinois	-3.3	-4.1	0.4
Indiana	-1.6	-2.4	0.5
Indiana St.	-0.2	-0.2	0.0
Iona	-1.0	-1.0	0.0
Iowa	-3.1	-2.6	0.4
Iowa St.	-2.0	-1.5	0.5
Jacksonville St.	-0.2	-0.2	0.0
James Madison	-0.1	0.0	0.0
Kansas	4.2	-1.8	0.755
Kansas St.	1.4	0.3	0.545
Kennesaw St.	-0.2	-0.2	0.0
Kent St.	-1.2	-1.0	0.0
Kentucky	6.9	8.5	0.744
La Salle	1.5	1.8	0.667
Lafayette	0.0	0.0	0.0
Lehigh	0.5	0.9	0.333
Liberty	0.3	0.2	0.333
Lipscomb	-0.1	-0.1	0.0
Little Rock	0.5	0.5	0.5
LIU Brooklyn	-0.3	-0.1	0.0
Long Beach St.	-0.6	-0.5	0.0
Longwood	-0.1	-0.2	0.0
Louisiana Lafayette	-0.4	-0.4	0.0
Louisville	1.8	3.5	0.71
Loyola Chicago	3.4	4.0	0.667
Loyola MD	-0.1	-0.1	0.0
LSU	-0.8	-1.0	0.444
Manhattan	-0.2	-0.3	0.0
Marquette	-1.6	-2.2	0.5
Marshall	0.7	0.8	0.5
Maryland	0.4	-0.3	0.5
Massachusetts	-0.4	-1.1	0.0
Memphis	-1.0	0.0	0.556
Mercer	0.8	0.8	0.5
Miami FL	4.1	3.4	0.632
Michigan	7.0	7.6	0.686
Michigan St.	8.0	9.2	0.689
Middle Tennessee	1.1	1.4	0.5
Milwaukee	-0.1	-0.1	0.0
Minnesota	-1.5	-1.7	0.286
Mississippi	-0.6	-0.9	0.25
Mississippi St.	-1.2	-1.1	0.25
Mississippi Valley St.	0.0	0.0	0.0
Missouri	-2.9	-3.3	0.385
Montana	-1.0	-0.9	0.0
Montana St.	-0.4	-0.3	0.0
Morehead St.	0.5	0.6	0.25
Morgan St.	-0.2	-0.2	0.0
Mount St. Mary's	-0.1	0.0	0.0
Murray St.	0.7	0.8	0.444
Nebraska	-0.6	-0.6	0.0
Nevada	0.3	-0.3	0.4
New Mexico	-2.7	-3.8	0.333
New Mexico St.	-1.9	-2.0	0.1
Norfolk St.	0.8	0.9	0.25
North Carolina	12.0	9.8	0.78
North Carolina A&T	0.0	0.0	0.0
North Carolina Central	-0.3	-0.2	0.0
North Carolina St.	-0.1	0.2	0.4
North Dakota	-0.1	-0.1	0.0
North Dakota St.	0.1	0.2	0.2
North Texas	0.5	0.6	0.333
Northeastern	-0.3	-0.4	0.0
Northern Colorado	-0.1	-0.1	0.0
Northern Iowa	0.5	1.1	0.5
Northern Kentucky	-0.2	-0.3	0.0
Northwestern	0.6	0.4	0.5
Northwestern St.	-0.1	-0.2	0.0
Notre Dame	-0.2	-1.1	0.526
Oakland	-0.5	-0.4	0.0
Ohio	2.7	3.3	0.571
Ohio St.	-4.1	-2.7	0.577
Oklahoma	1.4	0.7	0.571
Oklahoma St.	-4.1	-4.2	0.222
Old Dominion	-0.6	-0.4	0.25
Oral Roberts	1.2	1.1	0.4
Oregon	5.2	5.7	0.652
Oregon St.	1.9	1.6	0.6
Pacific	-0.2	-0.1	0.0
Penn	-0.1	0.0	0.0
Penn St.	-0.4	-0.2	0.333
Pittsburgh	-3.5	-4.6	0.5
Portland St.	-0.3	-0.3	0.0
Princeton	1.1	1.1	0.4
Providence	-1.3	-2.1	0.333
Purdue	-4.4	-4.4	0.552
Radford	0.0	0.0	0.0
Rhode Island	0.7	0.5	0.5
Richmond	1.2	1.1	0.5
Robert Morris	-0.2	-0.2	0.0
Rutgers	0.3	0.4	0.5
Saint Joseph's	-0.9	-1.0	0.25
Saint Louis	-0.2	-0.6	0.429
Saint Mary's	-2.7	-1.6	0.385
Saint Peter's	2.6	2.7	0.6
Sam Houston St.	-0.2	-0.2	0.0
San Diego	0.7	0.8	0.5
San Diego St.	-0.1	0.2	0.524
San Francisco	-1.0	-0.6	0.0
Seton Hall	-2.4	-2.7	0.167
Siena	0.5	0.9	0.4
SMU	-2.6	-2.1	0.0
South Alabama	-0.4	-0.6	0.0
South Carolina	2.9	3.1	0.8
South Dakota St.	-1.6	-1.7	0.0
South Florida	0.1	0.5	0.5
Southern	-0.1	0.0	0.0
Southern Miss	-0.4	-0.6	0.0
St. Bonaventure	-1.6	-1.4	0.0
St. John's	-1.3	-1.7	0.0
Stanford	1.5	1.5	0.667
Stephen F. Austin	0.1	0.5	0.286
Stony Brook	-0.2	-0.3	0.0
Syracuse	5.6	4.7	0.677
TCU	-0.8	-0.7	0.4
Temple	-2.6	-3.6	0.222
Tennessee	-2.6	-1.0	0.565
Texas	-5.5	-4.6	0.455
Texas A&M	0.0	0.1	0.5
Texas A&M Corpus Chris	0.0	0.0	0.0
Texas Southern	-0.1	-0.2	0.0
Texas Tech	1.9	3.7	0.688
Troy	-0.1	-0.1	0.0
Tulsa	-0.3	-0.3	0.0
UAB	0.6	0.3	0.333
UC Davis	0.0	0.0	0.0
UC Irvine	0.5	0.5	0.333
UC Santa Barbara	-0.9	-0.9	0.0
UCF	0.2	0.4	0.5
UCLA	4.5	5.1	0.667
UMBC	0.9	0.9	0.333
UNC Asheville	-0.3	-0.2	0.0
UNC Greensboro	-0.4	-0.5	0.0
UNC Wilmington	-0.7	-0.8	0.0
UNLV	-2.5	-3.4	0.167
USC	-1.1	-0.6	0.417
UT Arlington	0.0	0.0	0.0
Utah	-0.8	-1.2	0.5
Utah St.	-4.4	-3.6	0.0
UTEP	-0.6	-0.5	0.0
UTSA	0.0	0.0	0.0
Valparaiso	-0.9	-0.4	0.0
Vanderbilt	-3.4	-5.0	0.167
VCU	-0.4	-1.1	0.389
Vermont	-1.7	-0.9	0.0
Villanova	4.8	4.0	0.725
Virginia	-6.7	-7.3	0.619
Virginia Tech	-2.6	-2.1	0.286
Wake Forest	-0.6	-1.2	0.333
Washington	0.7	1.3	0.556
Washington St.	0.2	0.5	0.667
Weber St.	-0.3	-0.1	0.0
West Virginia	-1.1	-0.2	0.56
Western Kentucky	2.0	2.0	0.429
Western Michigan	-0.2	-0.2	0.0
Wichita St.	-0.8	0.2	0.562
Winthrop	-0.7	-1.0	0.0
Wisconsin	2.5	4.0	0.639
Wofford	-1.2	-0.9	0.167
Wright St.	-0.2	-0.2	0.0
Wyoming	-0.2	-0.5	0.0
Xavier	4.1	2.7	0.643
Yale	-0.1	0.2	0.25
